name,count
audio/x-sd2,2
application/wordperfect,2
text/x-readme,2
application/vnd.clustal.aln,2
image/x-cmx,2
application/x-osptracker,2
text/htm,2
video/x-dv,2
text/unknown,2
application/zip; charset=utf-8,2
application/x-rtf,2
application/applixware,2
audio/mid,2
application/x-stuffitx,2
image/jpx,2
application/x-font-otf,2
model/stl,2
text/vtt,2
application/mspowerpoint,2
application/x-mobipocket-ebook,2
application/vnd.chipnuts.karaoke-mmd,2
application/twbx,2
application/softgrid-inp,2
text/r,2
application/x-font-linux-psf,2
biosequence/phylip,2
application/vnd.ms-word.document.12,2
appplication/pdf,2
application/vnd.ms-publisher,2
application/x-001-compressed,1
application/vnd.novadigm.ext,1
text/calendar;charset=UTF-8,1
application/gxf,1
application/attachment,1
application/x-wtt,1
model/x.stl-binary,1
application/x-wine-extension-ztq,1
application/x-endnote-library,1
text/richtext,1
text/x-troff-me,1
application/vnd.ogc.csw_xml,1
application/x-qgis-project-container,1
chemical/x-jcamp-dx,1
text/x-emacs-lisp,1
application/x-qtiplot,1
application/wps-office.pdf,1
application/x-iwork-pages-sffpages,1
chemical/x-vmd,1
application/fits-gzipped,1
application/x-maple-worksheet,1
application/haansoftpptx,1
application/msword-template,1
video/3gpp,1
image/x-pict,1
application/x-wine-extension-ztt,1
application/vnd.stardivision.math,1
application/vnd.nitf,1
image/tiff+zip,1
applicaton/octet-stream,1
application/oebps-package+xml,1
aplication/vnd.ogc.wms_xml,1
application/xhtml+xml;charset=UTF-8,1
application/mipc,1
application/haansoftxls,1
application/vnd.visio,1
application/x-jdf,1
application/zstd,1
application/softgrid-tex,1
multipart/related,1
model/vnd.mts,1
application/vnd.apple.installer+xml,1
application/x-httpd-php,1
application/vnd.stardivision.impress,1
application/vnd.trueapp,1
application/vnd.iccprofile,1
application/x-font-pcf,1
appication/xml,1
application/x-dtbncx+xml,1
application/nvivo-qdpx-project,1
application/x-wine-extension-opj,1
chemical/x-cml,1
chemical/x-fastq,1
application/x-awk,1
x-gis/x-shapefile,1
text/x-sas-syntax;charset=US-ASCII,1
application/vnd.ms-word,1
application/x-virtualbox-ova,1
application/ms-excel,1
application/vnd.openxmlformats-officedocument.word,1
text/x-maximasession,1
application/vnd.ms-pdf,1
application/font-woff,1
application/vnd.sun.xml.writer.template,1
application/vnd.hal+xml,1
application/x-maker,1
application/x-troff-me,1
text/x-csl,1
application/x-ms-dos-executable,1
text/vnd.in3d.3dml,1
text/html; charset: utf-8; charset=utf-8,1
text/x-moz-deleted,1
application/zlib,1
image/g3fax,1
text/html; charset=us-ascii,1
application/x-lzh,1
text/x-go,1
application/oxps,1
application/mex,1
application/x-bzip-compressed-tar,1
image/x-xcf,1
image/pdf,1
application/softgrid-rdata,1
application/x-empty,1
application/vnd.hp-hps,1
